forecast_date,target,location,target_end_date,type,quantile,value
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.3,175339.8
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.35,175649.09999999998
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.4,175925.40000000002
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.45,176150
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.5,176352
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.55,176525
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.6,176687
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.65,176856
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.7,177044
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.75,177247
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.8,177479
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.85,177739
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.9,180069.40000000002
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.95,180685
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.975,180954.05
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.99,181228.74
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.01,175359.26
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.025,175575
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.05,175791
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.1,176271
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.15,181168.9
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.2,181643
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.25,182019
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.3,182367
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.35,182704
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.4,183141
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.45,183900
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.5,184449
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.55,184756
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.6,185016
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.65,185226
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.7,185440
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.75,185660.5
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.8,185927
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.85,186387.1
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.9,190345.40000000002
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.95,191329
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.975,191776
2020-08-14,3 wk ahead cum death,US,2020-08-29,quantile,0.99,192235.22
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.01,181143.25999999998
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.025,181442
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.05,181736
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.1,182427.6
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.15,187404.9
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.2,188237
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.25,188949
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.3,189450
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.35,189935.1
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.4,190496
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.45,191576.1
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.5,192535
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.55,192964
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.6,193326
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.65,193686
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.7,194115
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.75,194867.5
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.8,196789.80000000005
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.85,199652.1
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.9,202414.40000000002
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.95,203614.69999999998
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.975,204310.35
2020-08-14,4 wk ahead cum death,US,2020-09-05,quantile,0.99,205023
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.01,187814.26
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.025,188219.65
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.05,188634
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.1,189611.6
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.15,193277.90000000002
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.2,194346.2
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.25,195358.5
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.3,196516
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.35,197560
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.4,198454
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.45,199410
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.5,200283
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.55,200990.3
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.6,201701
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.65,202486.90000000002
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.7,203492
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.75,204986.5
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.8,214112.4
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.85,216362.09999999998
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.9,217588.4
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.95,219190.39999999997
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.975,220848
2020-08-14,5 wk ahead cum death,US,2020-09-12,quantile,0.99,223263.69999999998
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.01,195830
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.025,196352.65
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.05,196922
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.1,197897
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.15,198972
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.2,200137.59999999998
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.25,201287
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.3,202898
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.35,205667.1
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.4,206759.8
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.45,207506.7
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.5,208211
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.55,209068
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.6,210797.4
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.65,212307
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.7,213827
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.75,216087
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.8,231091.8
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.85,233512.5
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.9,235833
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.95,239975.7
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.975,243577.34999999998
2020-08-14,6 wk ahead cum death,US,2020-09-19,quantile,0.99,247869.74000000002
2020-08-14,1 wk ahead inc death,US,2020-08-15,point,NA,7258.888666888667
2020-08-14,2 wk ahead inc death,US,2020-08-22,point,NA,7514.776852776853
2020-08-14,3 wk ahead inc death,US,2020-08-29,point,NA,7816.641728641729
2020-08-14,4 wk ahead inc death,US,2020-09-05,point,NA,8528.436267436267
2020-08-14,5 wk ahead inc death,US,2020-09-12,point,NA,9572.79390979391
2020-08-14,6 wk ahead inc death,US,2020-09-19,point,NA,10524.15736115736
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.01,5108.26
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.025,5166
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.05,5229
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.1,5374
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.15,6763
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.2,6866
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.25,6950
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.3,7036
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.35,7122
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.4,7200
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.45,7269
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.5,7334
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.55,7397
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.6,7457.5999999999985
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.65,7523
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.7,7597
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.75,7687
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.8,7785
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.85,7906
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.9,8586.400000000001
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.95,8819
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.975,8924.349999999999
2020-08-14,1 wk ahead inc death,US,2020-08-15,quantile,0.99,9028
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.01,5075
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.025,5144
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.05,5217
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.1,5373
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.15,6733
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.2,6892
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.25,7007
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.3,7103.799999999999
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.35,7197
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.4,7313
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.45,7474
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.5,7612
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.55,7708
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.6,7785
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.65,7856
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.7,7927.199999999997
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.75,7997
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.8,8077
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.85,8194.099999999999
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.9,9445.400000000001
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.95,9770.699999999997
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.975,9918
2020-08-14,2 wk ahead inc death,US,2020-08-22,quantile,0.99,10062
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.01,5260
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.025,5338
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.05,5425.3
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.1,5613
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.15,6488
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.2,6682
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.25,6836
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.3,6974
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.35,7102.0999999999985
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.4,7257
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.45,7533.700000000001
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.5,7788
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.55,7913
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.6,8015
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.65,8123
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.7,8255
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.75,8470
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.8,8906.800000000003
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.85,9598
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.9,10340.400000000001
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.95,10668
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.975,10872
2020-08-14,3 wk ahead inc death,US,2020-08-29,quantile,0.99,11063.739999999998
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.01,5719.26
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.025,5817
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.05,5916
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.1,6056
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.15,6207
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.2,6381
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.25,6571
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.3,6857
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.35,7328
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.4,7544
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.45,7681
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.5,7811
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.55,7975
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.6,8238.599999999999
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.65,8503
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.7,8765.199999999997
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.75,9170
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.8,11515.800000000003
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.85,12038
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.9,12432
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.95,13232.699999999997
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.975,14186.699999999997
2020-08-14,4 wk ahead inc death,US,2020-09-05,quantile,0.99,15187
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.01,5567
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.025,5733
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.05,5884
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.1,6106
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.15,6330
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.2,6612
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.25,6825
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.3,7007
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.35,7196
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.4,7435.4000000000015
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.45,7907
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.5,8226
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.55,8451
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.6,8737
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.65,9094.900000000001
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.7,9472.199999999997
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.75,10072.5
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.8,13422
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.85,14066.099999999999
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.9,16107.600000000006
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.95,18916.399999999994
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.975,20287.049999999996
2020-08-14,5 wk ahead inc death,US,2020-09-12,quantile,0.99,21878.39999999998
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.01,5221.26
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.025,5416
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.05,5580
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.1,5816
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.15,6067
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.2,6444.200000000001
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.25,6961.5
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.3,7308
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.35,8078
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.4,8430.400000000001
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.45,8687
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.5,8937
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.55,9169
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.6,9437
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.65,9826.900000000001
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.7,10335.199999999997
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.75,11152.5
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.8,15311
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.85,16222.099999999999
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.9,17458.200000000004
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.95,22816.09999999999
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.975,25121.049999999996
2020-08-14,6 wk ahead inc death,US,2020-09-19,quantile,0.99,27315.539999999957
2020-08-14,1 wk ahead cum death,02,2020-08-15,point,NA,35.18706293706294
2020-08-14,2 wk ahead cum death,02,2020-08-22,point,NA,47.34332334332334
2020-08-14,3 wk ahead cum death,02,2020-08-29,point,NA,65.8984348984349
2020-08-14,4 wk ahead cum death,02,2020-09-05,point,NA,94.82217782217782
2020-08-14,5 wk ahead cum death,02,2020-09-12,point,NA,139.81023143523143
2020-08-14,6 wk ahead cum death,02,2020-09-19,point,NA,207.7917082917083
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.01,23
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.025,24
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.05,25
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.1,26
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.15,27
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.2,28
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.25,29
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.3,30
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.35,31
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.4,32
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.45,33
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.5,34
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.55,35
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.6,36
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.65,37
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.7,38
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.75,40
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.8,41
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.85,43
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.9,46
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.95,50
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.975,54
2020-08-14,1 wk ahead cum death,02,2020-08-15,quantile,0.99,59
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.01,24
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.025,26
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.05,27
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.1,29
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.15,31
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.2,33
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.25,34
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.3,36
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.35,38
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.4,41
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.45,43
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.5,45
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.55,47
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.6,49
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.65,51
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.7,53
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.75,56
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.8,59
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.85,63
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.9,68
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.95,78
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.975,89
2020-08-14,2 wk ahead cum death,02,2020-08-22,quantile,0.99,104.77000000000044
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.01,26
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.025,28
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.05,30
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.1,33
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.15,35
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.2,38
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.25,41
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.3,44
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.35,48
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.4,52
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.45,56
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.5,60
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.55,63
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.6,67
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.65,70
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.7,75
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.75,79
2020-08-14,3 wk ahead cum death,02,2020-08-29,quantile,0.8,85
